S.No,Name of CCA,Village,Country,Location,Ecosystem Type,Communities,Year of Formation,Data Source,References,,,,,,,,,,,,,,,
11,Angushu Saqhi,"Thakiye, Zunheboto",India,25.802078|94.617462,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
12,Aokum,"Aokum, Mokokchung",India,26.49939|94.395928,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
13,Aophong,"Wakching, Mon",India,26.697417|94.8865,Forest,"Tribe: Konyak, Dialect: Konyak",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
14,Aphuqa,"Lazami, Zunheboto",India,25.863333|94.247778,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
15,Aphuto,"Mudutsugho, Zunheboto",India,25.865|94.4175,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
16,Apukong & Lensen,"Molongyimsen, Mokokchung",India,26.668769|94.645906,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
17,Aqhu Khiji,"Kivikhu, Zunheboto",India,25.842111|94.49875,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
18,Artongpang Lu,"Kelingmen, Mokokchung",India,26.525639|94.613111,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
19,Auchem,"Bhumabk, Tuensang",India,26.368778|94.82825,Forest,"Tribe: Chang, Dialect: Chang",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
20,Awohu,"Awohumi, Zunheboto",India,25.927444|94.337,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
21,Ayina Kukulo,"Aotsakili, Zunheboto",India,26.144889|94.525528,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
22,Ayowong,"Penkim, Kiphire",India,25.799722|94.9325,Forest,"Tribe: Sangtam, Dialect: Sangtam , Anar",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
23,Ayuwong-Mukotekyu,"Phokphur, Kiphire",India,25.88|94.941944,Forest,"Dialect: Tikhir Sangnguliu, Yiuliu, Thongliu, Lamliu, Thuviliu",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
24,Balam & Noyak,"Pongching, Longleng",India,26.451332|94.754997,Forest,"Tribe: Phom, Dialect: Phom",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
25,Balhang,"Pelhang, Peren",India,25.563306|93.561972,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
26,Ban,Yaongyimchen,India,26.533167|94.747,Forest,,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
27,Bangelatuang,"Nchan, Peren",India,25.333111|93.527194,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
28,Bangyang,"Mohong, Mon",India,26.597389|94.963389,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
29,Beisanlo,New Beisampui,India,25.536059|94.567514,Forest,,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
30,Beisanlo,"New Beisampui, Peren",India,25.493106|93.538399,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
31,Benmang Lu,"Changtongya New, Mokokchung",India,26.549167|94.69025,Forest,"Tribe: Sema, Dialect: Sema",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
32,Benreu,"Benreu, Peren",India,25.579278|93.863639,Forest,"Tribe: Zeliang, Dialect: Zeme",2007,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
33,Beuyong Khao,"Wansoi, Tuensang",India,26.229028|94.087806,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1996,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
34,Bobohu,"Melahumi, Zunheboto",India,26.058111|94.63375,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
35,Bukong Tepu,"Yakshu, Mon",India,26.429528|94.957972,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
36,Bumyak,"Yuching, Mon",India,26.683361|95.073806,Forest,"Tribe: Konyak, Dialect: Konyak & Yuching",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
37,Chaljang,"Kanjang, Phek",India,25.545889|94.604028,Forest,"Tribe: Pochury, Dialect: Pochury",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
38,Chamsa,"Yonghong, Mon",India,26.460389|94.993278,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
39,Changak,"Changlang, Mon",India,26.663667|94.955278,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
40,Chashachu,"Ruzaphema, Dimapur",India,25.737911|93.805561,Forest,"Tribe: Angami, Dialect: Tenyidie",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
41,Cheinyak,"Khudei, Tuensang",India,26.331472|94.758167,Forest,"Tribe: Chang, Dialect: Chang",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
42,Chellitso Reserve,"Chellitso, Tuensang",India,25.960667|94.948528,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
43,Chemongan,"Choklangan, Tuensang",India,26.069972|94.116361,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1997,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
44,Chepi,Lozaphuhu,India,25.578687|94.571013,Forest,,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
45,Chepi,"Chepoketa, Phek",India,25.798778|94.484611,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
46,Chepi,"Lozaphuhu, Phek",India,25.637088|94.486414,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
47,Chepi Ratsuru,"Kotisu, Phek",India,25.713972|94.553222,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
48,Chepuangjam,"Tepun Village, Peren",India,25.348944|93.659083,Forest,"Tribe: Zeliang, Dialect: Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
49,Chepuangpilong,"Tening Old Village, Peren",India,25.358222|93.606944,Forest,"Tribe: Zeliang, Dialect: Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
50,Cheranghangkiu,"Tening Namsan, Peren",India,25.3535|93.643167,Forest,"Tribe: Zeliang, Dialect: Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
51,Chiang,"Aiwa Changle, Mon",India,26.592|94.969111,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
52,Chiang,"Sowa, Mon",India,26.36025|94.5985,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
53,Chikipong Forest,"Anatonger, Kiphire",India,25.969722|94.830278,Forest,"Tribe: Yimchunger, Dialect: Yimchunger and Chirr",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
54,Chikipong Forest,"Chipkipong, Kiphire",India,25.884722|94.920278,Forest,"Tribe: Tikhir, Dialect: Tikhir",2006,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
55,Chikiuyoung,"Yahkor, Tuensang",India,26.159833|94.882667,Forest,"Tribe: Yimchunger, Dialect: Yimchunger",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
56,Chiknyu,"Jaboka Village, Mon",India,26.935417|95.143639,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
57,Chimpito,"Satami, Zunheboto",India,26.876333|94.933333,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
58,Chinglangpang,"Leangha, Mon",India,26.722076|95.029206,Forest,,2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
59,Chongkujong,"Longtang, Tuensang",India,26.331389|94.758056,Forest,"Tribe: Chang, Dialect: Chang",1992,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
60,CKK ( Chepoki Kilki Kuqhakulu ),"Ghukiye, Zunheboto",India,25.904944|94.496583,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
61,Dempong,"Pangsha Old, Tuensang",India,26.263056|94.103806,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
62,Deukwaram,"Deukwaram, Peren",India,25.617694|93.734556,Forest,"Tribe: Zeliang, Naga, Dialect: Zeliang",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
63,Dzukiri,"Losami, Phek",India,25.618917|94.442111,Forest,"Tribe: Chakhesang, Dialect: Khezha (Chakhesang )",1990,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
64,Dzuleke,"Dzuleke, Kohima",India,25.620556|93.956703,Forest,"Tribe: Angami, Dialect: Tenyidie",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
65,Eloku Clan,"Hebolomi, Zunheboto",India,25.834722|94.365556,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
66,Ewulu Great Hill Barbet Sanctuary,"Enhulumi, Phek",India,25.589778|94.366972,Forest,"Tribe: Chakhesang, Dialect: Khezha",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
67,Eyoza,"Rihuba, Phek",India,25.628|94.27525,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
68,Fame Cool,"New Chalkot, Peren",India,25.610361|93.623472,Forest,"Tribe: Kuki, Dialect: ",Kuki,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
69,Gaily Village CCA,"Gaili, Peren",India,25.657556|93.811389,Forest,"Tribe: Zeliang, Dialect: Zeliang Dialect",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
70,Gamlo Forest,"S.Wamsa, Mon",India,26.623111|95.122944,Forest,"Tribe: Konyak, Dialect: Konyak & Wamsa",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
71,Getjong,"S/Tangten, Mon",India,26.722076|95.029206,Forest,"Tribe: Konyak, Dialect: Konyak & Tangnyu",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
72,Goching,"Goching, Mon",India,26.699556|95.028083,Forest,"Tribe: Konyak, Dialect: Konyak",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
73,Gopibungi,"Gopibungi, Peren",India,25.487722|93.53,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
74,Guitiru,"Khotsokono, Phek",India,25.747174|94.419851,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1996,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
75,Gurongtsu,"Anaki, Mokokchung",India,26.748567|94.722611,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
76,Hahpankuh,"Tela, Mon",India,26.908194|95.139833,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
77,Hanchjanthen biodiversity conservation Shaki,"Shaki, Wokha",India,26.038917|94.122556,Forest,"Tribe: Lotha, Dialect: Lotha",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
78,Hantsanju,"Aree Old, Wokha",India,26.187056|94.478,Forest,"Tribe: Lotha, Dialect: Lotha",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
79,Hebaituang,"N-Gam Village, Peren",India,25.297556|93.504778,Forest,"Tribe: Zehong, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
80,Hebamloa,"Nsong Namchi Village, Peren",India,25.329111|93.555306,Forest,,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
81,Hegozam,"Azailong Village, Peren",India,25.410333|93.642389,Forest,"Tribe: Zeliang, Dialect: Zeme & Liangmai",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
82,Hegumru,"Nduaglwa, Peren",India,25.561817|93.791167,Forest,,2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
83,Heiphang,"Yongam, Tuensang",India,26.532111|94.834667,Forest,"Tribe: Phom, Dialect: Phom",1982,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
84,Hekhatiru,"Khotsokono, Phek",India,25.747174|94.419851,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",1996,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
85,Helipong CCA,"Helepong, Tuensang",India,26.213083|94.756806,Forest,"Tribe: Chang, Dialect: Chang",2004,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
86,Heningkunglwa Village CCA,"Heningkunglwa, Peren",India,25.674667|93.776167,Forest,"Tribe: Zeliang, Dialect: Zeliang Dialect",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
87,Hepungyi,"Old Poilwa, Peren",India,25.583444|93.910278,Forest,"Tribe: Zeliang, Dialect: Zeme",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
